"","State","Municipality","Lat","Lon","Clave","ConsultsPerDoc","ConsultsPerMedUnit","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","Hom06","PopMun06","PartyMunBC","Inc06","Exp06","StatePop06","StateHom06","StateGDP06"
"99","Chiapas","Comitan de Dominguez",15.7666667,-92.2666667,7019,NA,NA,9.4,6.6,0.834361054374026,0.00125843392737868,0.036303973672763,0.0760614743422766,14,125213,"PRI",232544718,232544718,4394083.2,534,182807376
"100","Chiapas","La Concordia",16.1166427,-92.6881991,7020,NA,NA,1.8,4.6,0.735681047854311,0.000947894525191015,0.0683751119068935,0.0212765957446809,4,40967.6,"Other",95869322,95869322,4394083.2,534,182807376
"101","Chiapas","Copainala",17.092326,-93.209237,7021,NA,NA,2,5.9,0.834923554431544,0.00126451316243246,0.104166666666667,0.0418230563002681,1,20415.6,"PRD",37189562,37189562,4394083.2,534,182807376
"102","Chiapas","Chalchihuitan",16.960937,-92.618891,7022,NA,NA,1,3.5,0.545127379486694,0.000473529690311583,0.999274836838289,0.000181422351233672,0,13441.4,"PRI",40308392,40308392,4394083.2,534,182807376
"103","Chiapas","Chamula",16.7840104,-92.6896326,7023,NA,NA,1,2.7,0.497394197006099,0.00149695065607097,0.996956241495381,0.00158040300276571,9,69056.2,"PRI",0,0,4394083.2,534,182807376
"104","Chiapas","Chanal",16.6536697,-92.2560136,7024,NA,NA,2,4.2,0.590934764190907,0.0076249646992375,0.937389890229028,0.00881885210351308,3,9403.4,"PRI",32875503,32875503,4394083.2,534,182807376
"105","Chiapas","Chapultenango",17.3393929,-93.1296999,7025,NA,NA,0.5,5.1,0.793829822524465,0.000331729971802952,0.758509955041747,0.000423370025402202,0,7165.6,"PAN",22738937,22738937,4394083.2,534,182807376
"106","Chiapas","Chenalho",16.8981342,-92.6241534,7026,NA,NA,1.4,3.8,0.575365114356572,0.00137779002480022,0.99032044198895,0.000624832634115862,2,32652.6,"PRI",75325319,75325319,4394083.2,534,182807376
"107","Chiapas","Chiapa de Corzo",16.7069444,-93.0138889,7027,NA,NA,1.8,6.5,0.82928368570527,0.00168822972546545,0.0446467073245857,0.0976198689203173,7,76362.2,"PRI",107175782,107175782,4394083.2,534,182807376
"108","Chiapas","Chiapilla",16.5686207,-92.7212051,7028,NA,NA,0.5,4.1,0.708806173399909,0.000907852927825692,0.0467289719626168,0.0666666666666667,0,5046.6,"PAN",21564348,21564348,4394083.2,534,182807376
"109","Chiapas","Chicoasen",16.9067079,-93.0926899,7029,NA,NA,1.3,5.8,0.842573579739904,0.00205338809034908,0.0901584467752734,0.113861386138614,1,5093.2,"PRI",13497474,13497474,4394083.2,534,182807376
"110","Chiapas","Chicomuselo",15.7427507,-92.2844891,7030,NA,NA,1.3,4.4,0.774499210373203,0.000997423323082038,0.00432200993658359,0.551401869158878,3,28911,"PRI",55863442,55863442,4394083.2,534,182807376
"111","Chiapas","Chilon",17.1046837,-92.2736561,7031,NA,NA,1.4,4,0.6250884132764,0.00196473947554554,0.967119424967585,0.0016790971923933,8,99036.4,"PRD",211859599,211859599,4394083.2,534,182807376
"112","Chiapas","Escuintla",15.3232503,-92.6586163,7032,NA,NA,1.7,5.7,0.832671782658552,0.000441033783187792,0.00316875776131546,0.716216216216216,5,27904.8,"PRI",57759970,57759970,4394083.2,534,182807376
"113","Chiapas","Francisco Leon",17.315983,-93.257079,7033,NA,NA,1,4.1,0.75599520383693,0.00299760191846523,0.755923714120593,0.00305810397553517,1,6563.2,"PAN",23087205,23087205,4394083.2,534,182807376
"114","Chiapas","Frontera Comalapa",15.6582577,-92.1427249,7034,NA,NA,1.8,5.7,0.844505594561237,0.00222568439795237,0.0118187011247464,0.443333333333333,5,59466.4,"PRI",91120941,91120941,4394083.2,534,182807376
"115","Chiapas","Frontera Hidalgo",14.7758049,-92.1764046,7035,NA,NA,0.8,6.2,0.796995618610474,0.000625912789484665,0.00265170831208567,1.46153846153846,1,11254.6,"Other",25442420,25442420,4394083.2,534,182807376
"116","Chiapas","La Grandeza",15.5158375,-92.2259721,7036,NA,NA,0.7,5.4,0.838594513340849,0.000375798571965427,0.0320594095272596,0,0,6832.8,"Other",24008664,24008664,4394083.2,534,182807376
