	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
Zihuateutla	3	2	5	1	7	4	5	2	17	4	4	1	11	3	13	8	10	2	19	9	10	3	10	1	8	1	12	3	8	1	7	2	6	1	4	2	6	0	3	2	6	2
Zinacatepec	3	0	4	0	2	0	6	2	5	0	4	1	3	1	2	2	5	1	4	2	5	1	12	1	9	0	6	0	7	1	6	0	6	1	5	2	4	1	4	0	3	0
Zongozotla	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	2	0
Zoquiapan	0	0	1	0	2	0	1	0	0	0	1	0	0	0	2	0	0	0	4	0	1	0	1	0	2	1	3	0	2	0	0	0	2	0	1	0	3	0	5	1	2	0
Zoquitlán	13	2	4	0	1	0	12	2	6	2	5	1	7	1	5	2	14	2	12	5	11	2	6	2	11	6	12	3	14	2	12	2	9	3	9	0	9	1	12	4	7	3
No especificado	5	1	7	1	2	1	4	4	10	1	1	0	2	0	10	1	4	3	3	1	8	0	4	1	4	0	4	2	3	1	0	0	1	0	2	0	1	1	3	0	3	1
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Querétaro	685	91	707	79	712	79	652	86	692	99	734	84	623	109	679	96	756	85	721	97	754	101	829	104	738	68	721	72	814	68	765	72	740	63	763	54	758	72	764	83	835	76
Amealco de Bonfil	42	5	42	5	38	1	30	3	51	9	48	5	36	10	42	5	35	7	51	7	51	5	43	2	51	1	47	3	57	2	46	4	40	1	32	2	32	0	38	3	44	3
Pinal de Amoles	22	4	19	7	23	4	16	3	18	4	24	2	31	5	17	6	25	5	28	2	31	1	23	5	34	4	13	4	25	1	19	3	24	5	18	5	20	2	20	2	10	0
Arroyo Seco	13	5	8	0	2	0	9	4	4	2	5	0	4	1	10	2	6	0	8	2	13	1	10	2	5	0	7	1	6	0	5	0	9	0	8	0	9	0	11	1	8	0
Cadereyta de Montes	22	3	26	4	27	3	34	5	51	5	37	3	32	3	31	2	39	3	33	4	20	0	47	9	37	1	19	1	30	2	38	4	36	3	39	1	29	3	40	4	39	4
Colón	22	3	22	1	33	7	23	2	29	2	21	3	20	3	25	2	28	2	24	4	22	3	35	6	29	4	23	4	33	3	25	3	31	0	31	3	29	5	23	4	28	2
Corregidora	29	6	28	2	32	5	27	6	17	1	21	0	18	3	30	2	30	3	25	3	23	4	34	2	39	5	39	3	41	2	32	5	39	2	40	4	33	8	42	5	38	3
Ezequiel Montes	11	2	18	0	22	1	5	0	6	1	7	1	21	7	8	2	12	2	9	0	12	1	17	3	21	3	16	2	13	1	14	0	19	4	16	1	11	0	19	1	11	1
Huimilpan	17	0	9	1	11	1	18	4	14	2	15	2	8	3	21	3	21	5	12	0	15	1	22	3	12	1	16	1	12	3	17	1	16	1	16	0	22	1	19	1	13	1
Jalpan de Serra	17	2	10	0	15	0	8	1	12	2	14	4	19	2	14	2	9	1	11	0	16	4	13	0	14	2	10	1	9	1	11	1	6	0	20	2	18	1	12	2	19	2
Landa de Matamoros	12	6	8	5	11	2	16	2	10	6	14	8	10	2	14	3	13	3	14	10	23	7	14	3	10	2	11	3	12	0	18	2	9	1	10	2	17	3	13	3	10	0
El Marqués	18	1	26	4	32	1	27	4	32	6	38	5	27	1	42	7	52	2	38	4	51	7	52	9	36	3	39	2	40	2	39	4	50	2	47	3	48	2	45	3	60	3
Pedro Escobedo	26	5	32	2	34	5	22	2	34	3	29	2	32	7	32	5	38	2	23	3	26	2	28	0	29	3	19	2	43	6	24	1	37	2	22	1	36	6	33	3	37	3
Peñamiller	12	5	9	0	7	1	6	1	16	0	6	0	10	1	11	0	5	0	12	1	16	4	8	3	3	0	4	0	17	0	15	0	8	1	14	0	15	1	9	0	9	1
Querétaro	293	28	311	38	293	34	296	37	280	45	306	38	260	37	266	31	299	35	301	36	289	46	343	42	268	32	327	31	329	33	315	34	284	27	323	20	301	30	296	34	347	38
San Joaquín	10	1	6	2	5	0	3	1	9	0	5	0	4	1	5	1	7	0	3	0	10	0	4	0	10	0	2	0	5	0	6	1	5	0	2	0	5	2	4	1	3	1
San Juan del Río	86	12	96	6	82	13	79	5	80	7	106	4	64	18	90	19	107	12	97	17	98	12	95	11	107	5	83	8	100	8	103	8	84	11	88	8	98	8	99	14	109	14
Tequisquiapan	20	2	23	2	18	0	18	5	22	3	21	3	17	5	13	2	20	3	20	3	32	3	23	2	16	1	25	3	25	2	23	0	27	2	17	1	22	0	27	1	29	0
Tolimán	13	1	13	0	27	1	13	1	7	1	15	3	10	0	8	2	10	0	12	1	6	0	17	1	13	1	19	3	15	2	15	1	14	0	20	1	13	0	13	1	20	0
No especificado	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	2	0	2	0	0	0	2	1	0	0	0	0	1	0	1	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quintana Roo	373	55	370	54	384	51	407	73	434	155	362	71	369	65	397	80	394	70	487	83	473	76	501	97	477	68	532	123	557	119	610	73	556	64	744	118	759	140	752	137	707	142
Cozumel	35	3	40	1	40	1	37	5	15	1	18	3	26	4	21	2	18	3	34	10	35	2	30	2	30	1	31	2	41	4	42	2	33	1	31	2	35	4	34	5	36	6
Felipe Carrillo Puerto	21	3	23	2	16	3	16	2	20	6	20	1	20	3	19	1	24	3	26	5	20	1	27	4	27	2	28	3	32	7	19	0	42	4	36	1	42	4	47	2	39	1
Isla Mujeres	15	2	7	1	7	0	6	0	3	2	7	0	4	0	3	0	6	0	5	0	5	2	10	3	10	3	7	3	6	2	7	2	11	1	15	0	7	0	10	2	9	2
Othón P. Blanco	134	25	152	18	120	17	141	34	164	59	115	27	116	31	107	31	117	18	146	32	124	30	127	18	135	11	139	15	140	28	146	21	107	13	158	22	159	21	182	37	167	24
Benito Juárez	146	19	129	27	174	25	198	32	194	78	153	29	167	18	190	42	176	33	210	28	210	33	210	50	198	37	237	86	244	66	245	31	248	40	370	81	351	90	349	80	331	94
José María Morelos	14	3	8	2	12	3	5	0	10	3	17	3	5	1	15	0	15	1	9	0	6	0	19	4	13	1	4	0	8	1	13	2	12	0	14	0	18	2	18	0	11	1
Lázaro Cárdenas	5	0	8	3	14	1	4	0	3	0	5	0	6	2	14	3	6	0	2	0	9	0	14	3	10	3	5	2	10	1	12	0	14	0	9	1	11	1	14	1	10	0
Solidaridad	0	0	0	0	0	0	0	0	25	6	25	7	25	6	28	1	32	12	51	8	61	8	63	13	54	10	81	12	76	10	125	15	87	5	110	11	120	18	80	9	86	13
Tulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	18	1	18	1
No especificado	3	0	3	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	4	0	3	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
San Luis Potosí	1259	231	1254	216	1281	259	1153	237	1238	237	1133	206	1126	209	1114	204	1251	303	1186	279	1157	269	1131	225	1172	157	1106	144	1118	135	1145	132	1197	155	1206	141	1251	200	1248	211	1437	356
Ahualulco	17	2	20	7	15	4	10	3	17	3	17	3	15	4	15	3	15	3	18	5	12	4	14	2	18	1	6	0	13	3	13	3	11	2	17	1	14	3	12	2	14	2
Alaquines	5	3	5	1	2	0	5	1	4	0	1	1	5	1	1	1	5	1	3	2	3	0	2	0	2	1	4	1	5	1	5	1	5	1	3	0	4	2	2	0	4	0
Aquismón	24	6	26	2	13	1	28	3	17	2	17	3	16	6	16	5	21	2	18	3	20	3	16	2	27	4	21	3	16	1	16	1	21	3	26	4	24	4	24	4	32	4
Armadillo de los Infante	5	0	8	1	4	1	4	2	6	1	6	2	4	1	4	1	5	3	1	0	4	1	3	0	1	0	4	0	1	0	7	0	3	0	1	0	2	0	0	0	2	0
Cárdenas	10	1	17	2	14	5	12	1	14	2	6	1	6	0	18	3	13	2	10	2	5	0	7	3	9	2	10	1	8	1	10	1	12	1	5	1	10	1	9	0	5	1
Catorce	7	0	5	0	9	4	5	0	4	0	3	0	9	0	3	0	6	2	5	2	3	2	3	0	4	0	4	1	11	1	5	1	2	0	7	0	2	0	4	1	12	1
Cedral	5	1	8	4	14	2	10	0	8	0	5	1	7	3	4	0	8	1	3	0	6	1	6	2	14	1	9	1	6	1	12	1	6	1	7	0	9	3	10	0	10	1
Cerritos	13	4	19	4	16	8	12	4	10	5	12	5	14	1	9	2	8	4	9	3	17	2	10	1	10	1	11	1	12	2	7	0	13	1	19	2	9	1	11	2	11	1
Cerro de San Pedro	2	0	0	0	2	1	2	0	1	0	2	0	1	0	1	1	3	0	0	0	1	1	1	0	1	0	3	1	2	1	0	0	2	0	0	0	3	0	1	0	5	0
Ciudad del Maíz	30	7	29	5	24	3	22	9	38	7	17	4	18	8	20	8	14	4	10	2	12	5	11	3	13	5	12	2	13	3	9	3	13	2	15	2	19	2	20	3	23	8
Ciudad Fernández	18	6	27	5	23	5	26	6	21	3	19	3	18	5	24	4	32	9	35	5	19	4	23	2	34	3	14	5	17	3	23	5	22	4	21	4	30	2	21	6	22	10
Tancanhuitz	8	0	10	2	6	1	6	1	19	5	14	2	10	3	4	0	11	0	14	3	9	1	11	1	5	1	6	0	8	1	8	3	13	3	12	0	9	0	10	1	13	2
Ciudad Valles	66	8	58	6	68	4	78	15	92	10	67	17	66	12	63	6	76	12	66	6	75	10	79	7	77	5	56	8	71	8	73	2	68	6	77	11	87	12	66	7	134	71
Coxcatlán	6	1	5	1	9	0	0	0	6	0	6	2	6	0	3	2	5	0	6	1	4	0	6	1	9	1	6	1	9	2	5	0	8	1	7	0	13	2	7	0	9	0
Charcas	7	1	16	2	9	1	9	1	9	1	7	0	11	1	5	0	17	1	15	3	11	2	7	0	14	1	13	0	6	0	18	2	16	2	8	0	18	0	11	1	12	1
Ebano	28	4	22	5	9	1	19	4	20	4	15	3	23	3	27	1	28	2	28	6	22	2	13	2	7	0	14	3	16	0	24	3	23	1	24	1	14	1	23	6	22	4
Guadalcázar	15	6	20	5	26	6	8	4	18	7	15	6	32	3	19	3	5	0	18	7	16	5	12	1	15	5	11	0	10	1	18	2	10	4	17	0	9	3	19	2	20	2
Huehuetlán	3	0	7	0	7	1	6	0	10	0	3	0	7	1	9	2	11	1	6	2	10	3	11	2	8	0	10	1	2	1	13	3	9	3	5	0	4	1	12	1	12	2
Lagunillas	7	0	2	0	2	0	11	5	2	0	4	0	7	5	0	0	1	0	6	1	1	1	5	3	7	2	4	0	5	1	4	0	5	0	4	2	1	0	4	0	5	2
Matehuala	32	5	41	2	56	10	43	8	59	4	40	9	41	4	45	10	45	8	48	5	33	2	38	5	37	2	39	3	34	6	26	0	34	2	39	5	39	7	45	6	48	5
Mexquitic de Carmona	31	3	42	10	37	7	24	7	26	6	35	5	29	5	28	6	30	3	24	8	35	10	29	6	42	6	29	4	25	1	33	5	19	1	27	2	26	1	23	5	36	6
Moctezuma	16	2	14	5	8	3	13	6	13	8	12	2	14	3	11	3	8	2	16	4	16	0	18	5	6	0	9	4	10	1	9	1	11	1	12	2	12	1	13	1	13	1
Rayón	14	7	14	4	13	2	14	1	10	3	9	2	2	0	9	2	10	3	5	1	11	1	8	2	10	1	6	1	5	1	12	4	4	2	11	3	6	0	7	2	9	0
Rioverde	77	22	69	17	84	35	62	20	49	16	57	13	44	9	59	11	59	9	61	10	71	7	54	6	51	7	48	8	51	7	57	9	53	4	45	11	47	6	49	9	61	18
Salinas	22	3	9	1	23	0	8	1	12	1	11	4	12	1	9	1	18	4	14	1	18	6	13	0	10	1	12	1	19	1	21	4	14	3	27	2	18	4	11	1	10	2
San Antonio	6	0	5	0	2	1	3	0	4	0	5	0	4	3	2	0	9	0	6	1	2	0	4	1	2	0	6	1	2	1	2	0	6	0	4	0	0	0	1	1	7	1
San Ciro de Acosta	2	1	5	2	6	0	4	1	6	3	5	2	9	2	10	2	4	1	8	1	7	1	5	0	6	0	6	1	7	1	9	1	5	0	6	0	6	0	4	0	4	0
San Luis Potosí	379	54	354	51	349	60	350	59	360	65	359	53	365	63	323	48	378	123	353	106	335	100	348	104	324	49	330	39	360	41	315	40	347	45	336	46	347	78	362	67	376	96
San Martín Chalchicuautla	3	0	12	3	5	1	9	2	1	0	7	0	6	3	10	2	11	1	4	1	2	0	6	0	5	0	7	0	4	1	6	0	5	1	5	0	22	1	15	3	12	4
San Nicolás Tolentino	9	1	5	1	2	1	6	5	2	0	6	0	7	0	3	0	7	2	9	2	5	0	6	2	5	1	4	0	5	0	5	0	3	0	7	1	3	2	6	3	5	2
Santa Catarina	5	0	8	3	9	3	4	1	8	5	3	1	5	0	7	4	1	0	6	3	4	1	4	1	7	2	5	2	5	1	12	2	7	1	8	0	5	2	6	1	9	2
Santa María del Río	38	14	34	5	33	11	27	6	14	3	36	7	20	2	26	4	31	11	31	10	29	13	29	4	26	3	20	1	26	2	31	1	37	2	26	2	38	7	29	9	31	10
Santo Domingo	4	2	4	2	5	1	6	1	12	2	4	0	9	0	10	4	4	0	5	0	6	2	3	0	7	0	7	3	8	0	9	0	10	3	3	1	6	0	12	2	11	2
San Vicente Tancuayalab	7	2	11	0	3	0	9	2	4	0	10	3	5	0	3	0	3	1	10	1	3	0	6	0	8	2	3	1	9	0	7	2	9	0	11	2	11	0	5	1	7	2
Soledad de Graciano Sánchez	45	5	70	12	67	17	48	11	59	20	55	5	45	7	76	10	74	30	64	24	63	29	76	22	73	12	71	10	71	7	76	6	97	15	100	9	93	15	90	25	117	33
Tamasopo	12	2	9	1	24	4	20	5	15	5	10	1	13	2	15	7	16	3	19	6	19	5	18	2	14	3	22	5	10	1	7	1	15	4	16	2	17	3	23	4	19	5
Tamazunchale	62	8	42	8	51	11	45	4	54	7	35	6	41	12	34	5	40	7	33	3	46	5	33	2	40	3	40	7	33	6	32	1	35	2	35	0	41	5	45	4	42	4
Tampacán	4	0	4	0	4	0	7	1	6	0	5	0	3	1	8	0	7	0	6	0	4	0	7	3	3	0	6	1	6	1	12	2	1	0	7	0	3	0	7	0	7	1
Tampamolón Corona	7	0	8	0	4	0	5	0	5	1	9	1	5	0	3	1	5	1	4	0	3	0	4	0	9	2	5	1	7	1	8	2	4	1	2	1	4	2	6	0	6	1
Tamuín	16	0	22	3	22	1	15	2	19	5	15	3	15	0	13	2	12	0	16	4	15	0	13	1	23	3	30	4	17	4	17	1	15	0	22	0	22	2	24	3	27	2
Tanlajás	10	1	7	0	11	1	12	3	9	4	10	1	4	0	6	2	8	2	8	1	6	0	7	1	6	0	6	1	7	0	8	1	5	0	10	0	14	3	5	0	4	0
Tanquián de Escobedo	10	3	10	3	6	0	9	3	8	1	10	3	7	3	5	2	3	1	11	0	8	0	5	1	10	0	4	0	3	0	8	2	11	1	5	1	5	1	9	0	15	5
Tierra Nueva	8	1	5	0	7	0	0	0	9	0	3	0	9	1	3	1	8	2	6	0	5	0	4	0	5	1	5	0	7	1	3	0	5	0	6	1	16	2	7	1	6	0
Vanegas	6	2	2	1	7	2	4	2	9	1	0	0	2	2	2	0	3	1	2	0	5	0	3	0	4	0	3	0	3	0	4	1	2	0	5	0	3	1	3	0	4	1
Venado	12	2	3	1	26	1	7	1	9	0	13	2	1	0	10	2	3	0	9	3	4	0	2	0	5	1	8	1	9	0	9	1	13	3	11	1	10	0	14	1	6	1
Villa de Arriaga	14	5	13	2	9	2	11	2	10	1	7	1	13	1	5	1	11	2	12	3	8	1	9	2	14	1	9	0	14	2	5	1	9	1	13	0	7	2	9	3	12	3
Villa de Guadalupe	8	1	7	1	8	2	2	0	11	3	7	3	5	2	2	0	5	1	2	0	6	2	1	0	8	1	7	2	8	2	2	0	5	1	4	1	5	0	4	0	3	1
Villa de la Paz	3	0	4	0	3	0	1	0	4	0	5	0	4	0	1	0	9	0	0	0	1	0	2	0	4	0	1	0	1	0	1	0	5	0	0	0	5	0	2	0	3	1
Villa de Ramos	11	7	12	0	21	10	22	9	9	3	18	8	8	3	8	1	16	6	11	2	16	5	6	3	21	5	15	1	12	1	10	1	23	6	15	0	17	1	18	3	18	7
Villa de Reyes	16	3	25	5	17	4	25	2	21	5	18	4	18	4	18	5	39	15	18	6	27	5	39	5	39	6	24	4	22	5	24	3	40	5	20	4	27	6	27	8	25	10
Villa Hidalgo	15	5	9	2	10	1	9	2	13	5	11	1	14	1	9	2	5	1	15	2	8	4	6	2	5	0	10	0	6	1	16	3	12	0	7	0	13	0	11	1	14	2
Villa Juárez	4	1	9	2	5	0	2	1	8	1	5	2	3	1	10	1	7	0	6	2	7	1	6	1	2	0	12	0	12	1	5	0	5	3	7	2	2	0	5	1	10	0
Axtla de Terrazas	13	3	11	2	20	5	8	1	11	1	13	2	11	2	13	4	11	0	8	1	14	2	9	0	9	1	14	0	4	0	12	0	16	1	15	1	11	1	17	2	23	2
Xilitla	32	7	22	5	24	7	25	7	29	3	23	4	20	6	18	4	27	7	20	4	22	6	21	2	21	5	20	4	31	3	19	1	20	7	24	5	24	4	21	3	28	6
Zaragoza	19	6	18	5	16	5	11	1	16	4	11	3	17	6	24	8	11	3	20	5	25	11	20	8	16	3	14	2	18	3	21	3	13	2	19	4	8	2	11	3	10	1
Villa de Arista	9	3	7	3	11	3	8	1	7	0	3	1	2	0	6	2	8	5	7	1	6	3	6	1	3	0	8	0	4	0	6	1	4	1	1	1	4	1	7	0	5	2
Matlapa	0	0	0	0	0	0	0	0	0	0	4	0	13	0	17	3	16	1	11	2	6	0	14	0	6	0	12	1	8	1	11	0	7	2	10	2	15	0	7	0	15	1
El Naranjo	0	0	0	0	0	0	0	0	0	0	7	1	5	3	7	2	2	0	7	3	5	0	6	1	10	3	7	1	4	0	4	1	9	0	9	1	17	3	22	2	11	4
No especificado	2	0	4	2	1	0	2	0	1	1	1	0	1	0	1	0	3	0	0	0	1	0	3	0	1	0	4	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinaloa	1614	451	1656	532	1678	617	1667	552	1781	609	1781	634	1810	667	1753	604	1659	574	1655	549	1591	473	1519	493	1534	467	1480	426	1541	393	1659	447	1697	489	1828	402	2271	837	3030	1462	4019	2449
Ahome	162	29	146	26	178	33	200	55	178	37	188	45	158	33	184	40	180	37	165	34	176	34	175	29	169	20	172	22	190	17	238	24	205	31	225	42	213	37	290	91	499	289
Angostura	45	7	17	5	18	2	20	1	29	4	26	3	32	8	28	5	28	6	23	3	27	3	18	6	20	1	17	2	29	6	20	3	30	5	21	1	39	11	33	12	63	43
Badiraguato	48	34	54	41	53	35	53	36	75	59	68	55	85	62	75	53	74	48	36	22	61	43	53	45	48	33	36	18	30	11	44	18	40	19	46	23	68	34	82	46	57	48
Concordia	16	2	17	4	13	3	17	6	23	2	16	2	29	10	19	8	21	8	26	9	16	5	13	3	21	8	20	5	14	2	22	4	10	3	21	5	13	1	30	10	49	30
Cosalá	14	7	24	15	14	7	20	14	34	24	27	21	31	24	30	22	21	8	25	18	13	10	21	15	10	7	13	7	13	2	19	8	18	14	24	16	25	18	31	18	29	16
Culiacán	477	167	494	182	551	241	487	165	465	158	483	186	482	204	498	182	503	202	483	195	499	177	443	170	448	144	446	167	487	168	533	199	530	209	586	121	855	359	1077	618	1355	835
Choix	23	13	28	16	30	15	37	15	47	20	50	29	38	22	36	29	29	22	41	15	20	10	26	11	23	12	27	9	29	9	15	9	29	14	33	18	25	14	56	20	69	41
Elota	25	6	21	7	31	16	19	7	18	7	28	9	20	12	20	3	23	3	40	15	34	11	32	8	35	12	26	6	28	7	29	5	38	6	37	9	49	12	53	17	40	22
Escuinapa	47	12	43	6	35	15	34	9	50	16	39	10	40	8	30	8	36	14	24	7	35	1	37	5	25	4	27	5	34	8	30	4	53	5	50	8	46	17	55	18	47	23
El Fuerte	65	13	61	14	51	13	64	12	71	15	74	18	63	14	73	18	52	8	65	10	60	12	53	14	65	13	50	7	46	5	66	17	60	9	46	6	52	6	101	28	126	67
Guasave	161	15	182	26	155	30	159	22	189	31	188	32	208	38	216	31	168	40	144	30	142	24	143	26	152	21	145	21	124	16	139	15	162	23	155	15	179	36	278	108	370	186
Mazatlán	239	71	240	70	278	100	246	95	267	86	251	92	264	77	210	72	177	51	219	77	189	45	219	70	205	67	194	60	249	54	201	53	231	54	251	59	258	96	344	145	570	372
Mocorito	31	8	43	18	33	8	51	19	48	22	54	22	41	19	46	22	44	17	45	16	49	17	41	14	40	21	38	16	30	9	43	16	37	18	40	12	61	26	59	23	71	40
Rosario	32	13	50	19	30	12	55	20	49	22	50	19	48	22	52	25	47	19	59	24	51	18	33	9	41	17	41	10	40	17	24	6	46	14	33	4	44	20	65	26	80	48
Salvador Alvarado	49	10	36	8	46	8	49	10	52	13	54	18	61	28	65	25	54	14	66	9	51	14	47	14	50	18	44	14	36	12	35	5	45	16	51	17	62	31	95	45	109	67
San Ignacio	30	9	41	26	25	13	23	11	25	12	18	7	22	12	19	10	20	14	19	7	16	9	26	15	44	34	37	22	30	18	22	9	20	6	19	9	30	19	40	24	45	25
Sinaloa	81	25	85	39	79	50	73	40	74	57	78	41	90	43	73	29	73	29	71	35	57	16	57	23	57	22	56	17	54	16	66	19	65	21	72	20	95	37	105	55	156	99
Navolato	65	9	74	10	56	16	59	15	81	23	84	24	96	31	77	22	108	34	102	23	95	24	82	16	77	11	89	17	76	16	105	30	77	22	118	17	156	62	235	158	256	174
No especificado	4	1	0	0	2	0	1	0	6	1	5	1	2	0	2	0	1	0	2	0	0	0	0	0	4	2	2	1	2	0	8	3	1	0	0	0	1	1	1	0	28	24
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sonora	1296	170	1316	195	1260	241	1286	217	1363	250	1437	313	1500	323	1449	270	1286	281	1363	275	1280	199	1340	241	1264	208	1233	227	1340	255	1395	245	1471	239	1597	306	1653	408	1890	538	1996	708
Aconchi	1	0	3	0	1	0	3	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	3	0	2	0	2	1	1	0	1	0	2	0	2	2
Agua Prieta	39	11	30	7	37	11	47	14	37	8	46	11	52	17	51	15	40	13	58	17	74	17	43	13	40	10	36	7	71	21	50	14	37	10	46	13	55	19	60	17	62	19
Alamos	29	11	15	6	28	19	28	13	28	17	35	22	20	7	27	13	28	19	25	14	27	5	12	4	27	15	18	10	24	12	25	12	16	7	32	14	30	11	29	17	23	8
Altar	9	1	6	0	5	0	3	1	4	0	5	0	10	2	4	0	5	0	9	3	3	0	7	1	7	1	4	1	4	2	6	0	16	9	7	4	10	3	14	9	11	1
Arivechi	3	0	0	0	1	0	1	0	4	1	2	1	0	0	1	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0
Arizpe	3	1	5	0	6	1	2	0	2	0	3	0	3	0	3	0	1	0	5	0	1	0	2	0	4	0	5	0	3	0	6	0	3	2	5	0	2	0	1	0	7	0
Atil	2	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	4	1	2	0	0	0	1	1	0	0	5	4
Bacadéhuachi	1	1	3	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0
Bacanora	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1
Bacerac	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	3	1	2	0	0	0
Bacoachi	1	0	1	0	1	0	0	0	2	0	1	0	3	1	2	1	0	0	1	0	1	0	1	0	0	0	0	0	3	1	0	0	0	0	2	0	3	0	0	0	2	0
Bácum	13	1	12	0	15	1	13	1	10	0	15	2	17	1	9	0	12	0	12	0	5	0	17	3	11	1	5	0	12	1	12	0	17	1	20	4	15	2	15	1	19	5
Banámichi	1	0	2	0	0	0	1	0	0	0	1	0	1	0	3	1	3	0	2	1	0	0	2	0	1	0	0	0	9	0	1	0	2	0	3	0	1	1	3	0	2	0
Baviácora	5	0	0	0	1	0	4	1	3	0	4	0	2	0	3	0	2	0	5	0	3	0	4	0	2	0	1	0	4	0	2	0	2	0	3	0	1	0	2	0	3	0
Bavispe	2	0	1	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	0	5	3
Benjamín Hill	9	2	5	1	5	0	4	3	2	0	4	2	7	1	1	1	4	1	1	1	4	0	8	0	9	0	2	1	5	0	4	1	5	0	7	2	3	1	2	2	4	1
Caborca	51	7	43	8	44	9	42	9	45	5	39	7	40	5	51	13	54	14	62	6	44	4	54	10	42	8	50	9	56	9	63	17	65	13	76	20	62	15	91	52	83	35
Cajeme	200	22	216	33	216	26	190	12	193	14	208	25	221	26	200	14	207	31	167	33	152	21	175	26	174	21	147	16	175	25	154	24	165	32	213	33	236	57	246	69	277	79
Cananea	30	2	24	2	16	5	18	3	23	0	21	4	15	1	25	2	21	4	34	7	29	6	25	5	23	3	28	4	32	8	16	2	32	6	36	13	42	18	25	8	30	8
Carbó	2	1	6	0	1	0	1	0	12	0	2	0	2	1	3	0	3	2	5	0	2	0	2	0	4	0	2	0	2	1	4	0	6	0	2	0	3	0	5	1	3	0
La Colorada	3	0	3	0	0	0	0	0	0	0	0	0	1	0	2	1	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	6	3
Cucurpe	0	0	1	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	4	3	1	1	0	0
Cumpas	2	0	6	2	6	0	3	0	2	1	3	1	2	0	3	1	4	1	5	1	4	1	3	0	6	0	5	0	7	2	7	1	8	0	1	0	4	1	2	0	8	1
